iter	Passed	Remaining
0	0	968
1	1	820
2	2	780
3	3	769
4	4	856
5	5	841
6	6	851
7	6	845
8	7	850
9	8	839
10	9	824
11	9	811
12	10	797
13	11	784
14	11	771
15	12	768
16	13	766
17	13	759
18	14	749
19	15	741
20	15	736
21	16	732
22	17	725
23	17	721
24	18	720
25	19	717
26	19	716
27	20	715
28	21	712
29	21	710
30	22	705
31	23	701
32	23	698
33	24	695
34	25	693
35	25	690
36	26	687
37	27	683
38	27	679
39	28	677
40	28	675
41	29	673
42	30	670
43	30	671
44	31	671
45	32	669
46	32	668
47	33	666
48	34	664
49	34	662
50	35	660
51	36	658
52	36	656
53	37	657
54	38	657
55	38	655
56	39	653
57	40	652
58	40	650
59	41	649
60	42	647
61	42	646
62	43	644
63	43	643
64	44	642
65	45	641
66	45	639
67	46	637
68	47	636
69	47	634
70	48	633
71	49	632
72	49	631
73	50	629
74	50	628
75	51	628
76	52	627
77	53	627
78	53	626
79	54	625
80	55	625
81	55	625
82	56	621
83	56	621
84	57	620
85	58	621
86	59	620
87	59	620
88	60	619
89	61	618
90	61	617
91	62	617
92	63	619
93	64	622
94	65	622
95	66	622
96	66	623
97	67	623
98	68	622
99	69	623
100	69	621
101	70	619
102	70	618
103	71	616
104	72	614
105	72	613
106	73	612
107	74	611
108	75	613
109	75	612
110	76	611
111	76	610
112	77	608
113	78	606
114	78	605
115	79	603
116	79	601
117	80	599
118	80	598
119	81	597
120	82	596
121	82	594
122	83	593
123	83	591
124	84	590
125	84	588
126	85	586
127	85	585
128	86	583
129	87	583
130	87	582
131	88	581
132	89	580
133	89	579
134	90	577
135	90	576
136	91	575
137	91	573
138	92	572
139	93	571
140	93	570
141	94	568
142	94	567
143	95	566
144	95	565
145	96	565
146	97	564
147	97	563
148	98	562
149	99	561
150	99	561
151	100	560
152	101	559
153	102	561
154	102	560
155	103	559
156	104	560
157	104	559
158	105	559
159	106	558
160	106	556
161	107	556
162	108	555
163	108	554
164	109	553
165	110	552
166	110	551
167	111	550
168	111	549
169	112	549
170	113	548
171	113	547
172	114	546
173	114	545
174	115	544
175	116	543
176	116	542
177	117	542
178	118	541
179	118	541
180	119	541
181	120	541
182	121	540
183	121	539
184	122	538
185	122	537
186	123	536
187	123	535
188	124	534
189	125	533
190	125	532
191	126	531
192	126	530
193	127	529
194	128	528
195	128	527
196	129	526
197	129	525
198	130	525
199	131	524
200	131	523
201	132	522
202	132	521
203	133	520
204	133	519
205	134	518
206	135	517
207	135	516
208	136	515
209	136	514
210	137	513
211	138	512
212	138	512
213	139	510
214	139	509
215	140	508
216	140	507
217	141	506
218	141	505
219	142	504
220	142	503
221	143	503
222	144	502
223	144	501
224	145	501
225	146	500
226	146	499
227	147	499
228	148	498
229	148	498
230	149	497
231	150	497
232	150	496
233	151	495
234	152	494
235	152	494
236	153	494
237	154	493
238	154	492
239	155	493
240	156	492
241	157	492
242	157	491
243	158	491
244	159	490
245	159	490
246	160	489
247	161	489
248	162	489
249	163	489
250	163	488
251	164	488
252	165	488
253	166	488
254	166	487
255	167	486
256	168	486
257	168	485
258	169	485
259	170	484
260	171	484
261	171	483
262	172	482
263	173	482
264	173	482
265	174	482
266	175	481
267	175	480
268	176	479
269	177	479
270	177	478
271	178	478
272	179	477
273	179	476
274	180	476
275	181	475
276	182	475
277	182	474
278	183	473
279	183	472
280	184	471
281	184	470
282	185	469
283	185	468
284	186	468
285	187	467
286	188	467
287	188	466
288	189	465
289	189	464
290	190	463
291	190	462
292	191	461
293	191	460
294	192	460
295	193	459
296	193	458
297	194	457
298	194	456
299	195	456
300	196	455
301	196	454
302	197	453
303	197	452
304	198	451
305	198	450
306	199	450
307	200	449
308	200	448
309	201	447
310	201	446
311	202	446
312	203	445
313	203	445
314	204	444
315	205	444
316	205	443
317	206	443
318	207	442
319	207	441
320	208	440
321	208	439
322	209	438
323	209	438
324	210	437
325	211	436
326	211	435
327	212	435
328	212	434
329	213	433
330	214	432
